"poll_id","pollscore","numeric_grade","transparency_score","duration","sample_size","population","hypothetical","Methodology"
86297,1.2,10,8.9,2,1450,"rv","true","level3"
86301,1.2,9.7,6.7,3,1000,"rv","true","level2"
86253,0,10,8.9,3,980,"rv","true","level4"
86253,0,10,8.9,3,980,"lv","true","level4"
86256,1.2,9.3,5.6,3,1262,"rv","true","level3"
86256,1.2,9.3,5.6,3,1262,"rv","true","level3"
86274,4.7,0,1.1,2,601,"rv","true","level3"
86299,4.1,5.3,0,5,1026,"lv","true","level3"
86238,5,6,8.3,8,1167,"rv","true","level4"
86238,5,6,8.3,8,1167,"rv","true","level4"
86226,4.7,0,4.4,16,745,"lv","true","level2"
86190,4.4,5,6.7,1,2022,"rv","true","level3"
86147,3.1,9.3,8.9,4,1421,"rv","true","level4"
86147,3.1,9.3,8.9,4,1421,"rv","true","level4"
86241,3.4,8.7,6.7,8,705,"a","true","level4"
86148,1.2,10,10,10,787,"rv","true","level4"
86148,1.2,10,10,10,628,"lv","true","level4"
85971,3.1,8.7,6.7,3,1207,"rv","true","level2"
85960,1.2,9.3,5.6,4,1106,"rv","true","level3"
85960,1.2,9.3,5.6,4,1106,"rv","true","level3"
85961,1.2,9.3,5.6,4,1099,"rv","true","level3"
85961,1.2,9.3,5.6,4,1099,"rv","true","level3"
86065,1.2,10,8.9,10,1200,"rv","true","level3"
85994,4.7,0,10,6,1000,"rv","true","level2"
85994,4.7,0,10,6,1000,"rv","true","level2"
85939,3.7,8.3,8.3,8,1717,"rv","true","level4"
85918,2.2,9,5.6,5,1637,"rv","true","level1"
86276,1.9,9.3,9.4,5,1076,"a","true","level4"
85865,5.9,6,8.9,2,605,"lv","true","level3"
85890,0.6,9.3,7.8,2,1048,"lv","true","level3"
85890,0.6,9.3,7.8,2,1048,"lv","true","level3"
85890,0.6,9.3,7.8,2,1048,"lv","true","level3"
85940,5.9,4,4.4,10,815,"rv","true","level4"
85861,1.9,9.7,6.7,3,1441,"rv","true","level3"
85891,1.2,10,10,7,930,"rv","true","level2"
85891,1.2,10,10,7,808,"lv","true","level2"
85827,1.2,9.3,5.6,4,1172,"rv","true","level3"
85828,1.2,9.3,5.6,4,1119,"rv","true","level3"
85839,2.5,8.7,3.3,4,1000,"rv","true","level4"
85826,2.8,9.3,10,5,983,"rv","true","level4"
85837,1.2,10,8.9,6,847,"rv","true","level3"
85742,1.2,9.7,6.7,3,1260,"rv","true","level2"
85742,1.2,9.7,6.7,3,1260,"rv","true","level2"
85761,1.2,10,8.9,4,1069,"rv","true","level3"
85779,3.1,9.3,8.9,4,1650,"rv","true","level4"
85779,3.1,9.3,8.9,4,1650,"rv","true","level4"
86061,4.7,0,5.6,11,4067,"rv","true","level3"
86061,4.7,0,5.6,11,5013,"a","true","level3"
85736,3.7,7.3,8.9,13,1145,"lv","true","level3"
85818,4.1,5.3,0,4,1092,"lv","true","level3"
85672,4.4,5,6.7,1,2346,"rv","true","level3"
85676,2.2,9,8.9,2,1029,"lv","true","level3"
85655,1.9,9.7,6.7,2,1157,"rv","true","level3"
85675,4.4,7,8.9,16,812,"a","true","level3"
85608,1.2,10,8.9,2,1906,"lv","true","level3"
85591,3.1,7,6.7,2,968,"lv","true","level2"
85493,1.2,10,8.9,2,1343,"rv","true","level3"
85483,5.3,5.3,5.6,5,984,"lv","true","level3"
85454,1.2,10,8.9,4,1027,"rv","true","level3"
85482,2.2,9,8.9,4,1012,"lv","true","level3"
85408,4.4,5,6.7,1,2034,"rv","true","level3"
85413,1.2,9.3,5.6,3,1007,"rv","true","level4"
85450,1.6,9.3,7.8,23,421,"rv","true","level4"
85451,1.2,10,8.9,9,1200,"rv","true","level3"
85449,5.6,3.7,2.2,7,694,"lv","true","level4"
84963,2.8,9.3,10,7,1068,"rv","true","level2"
84924,1.2,9.7,6.7,2,1000,"rv","true","level2"
84962,2.8,9.3,10,7,1197,"rv","true","level2"
84889,4.7,0,5.6,5,1500,"rv","true","level3"
84859,4.4,5,5.6,4,2018,"rv","true","level3"
84862,5.9,6,8.9,2,1103,"lv","true","level3"
84863,5.9,6,8.9,2,897,"lv","true","level3"
84864,5.9,6,8.9,2,746,"lv","true","level3"
84865,5.9,6,8.9,2,874,"lv","true","level3"
84866,5.9,6,8.9,2,620,"lv","true","level3"
84867,5.9,6,8.9,2,887,"lv","true","level3"
84818,1.2,9.7,6.7,3,1475,"rv","true","level2"
84821,2.2,9,8.9,3,1006,"lv","true","level3"
84715,4.4,5,6.7,1,2851,"rv","true","level3"
84715,4.4,5,6.7,1,2851,"rv","true","level3"
84709,2.5,6.3,2.2,6,600,"lv","true","level4"
84684,1.2,9.7,6.7,3,917,"rv","true","level2"
84691,1.2,9.3,5.6,3,1001,"rv","true","level4"
84686,1.2,10,8.9,4,1061,"rv","true","level3"
84871,4.7,0,5.6,10,10000,"a","true","level3"
84871,4.7,0,5.6,10,10000,"a","true","level3"
84685,1.2,10,10,5,856,"rv","true","level4"
84685,1.2,10,10,5,668,"lv","true","level4"
84614,4.1,7.3,6.7,8,1002,"lv","true","level4"
84542,0,10,8.9,12,603,"rv","true","level4"
84542,0,10,8.9,12,603,"lv","true","level4"
84543,0,10,8.9,12,629,"rv","true","level4"
84543,0,10,8.9,12,629,"lv","true","level4"
84544,0,10,8.9,12,616,"rv","true","level4"
84544,0,10,8.9,12,616,"lv","true","level4"
84545,0,10,8.9,12,611,"rv","true","level4"
84545,0,10,8.9,12,611,"lv","true","level4"
84546,0,10,8.9,12,600,"rv","true","level4"
84546,0,10,8.9,12,600,"lv","true","level4"
84547,0,10,8.9,12,603,"rv","true","level4"
84547,0,10,8.9,12,603,"lv","true","level4"
84608,2.8,9.3,10,6,1271,"rv","true","level4"
84616,1.2,10,10,7,908,"rv","true","level2"
84519,2.2,9,8.9,3,1029,"lv","true","level3"
84584,3.4,8,5.6,6,2202,"lv","true","level3"
84584,3.4,8,5.6,6,2605,"rv","true","level3"
84526,5.3,5,5.6,3,668,"rv","true","level3"
84467,4.4,5,6.7,0,2116,"rv","true","level3"
84467,4.4,5,6.7,0,2116,"rv","true","level3"
84488,1.2,10,8.9,12,1200,"rv","true","level3"
84382,1.2,9.3,5.6,3,1007,"rv","true","level4"
84304,4.7,0,6.7,0,533,"rv","true","level3"
84322,3.7,7.7,0,9,700,"rv","true","level4"
84309,5.9,4,0,10,818,"rv","true","level4"
84241,5.3,5.3,0,5,1000,"lv","true","level2"
84225,2.5,8.7,0,4,1000,"rv","true","level4"
84194,3.7,8.7,0,4,2018,"lv","true","level4"
84247,1.2,10,0,11,3098,"rv","true","level3"
84165,4.4,5,0,1,2103,"rv","true","level3"
84165,4.4,5,0,1,2103,"rv","true","level3"
84158,1.2,9.3,0,3,1012,"rv","true","level4"
84533,4.7,0,5.6,26,20000,"a","true","level3"
84078,2.8,9.3,0,6,1259,"rv","true","level4"
83421,1.2,9.3,0,3,1002,"rv","true","level4"
83308,5.3,5,0,9,675,"rv","true","level3"
82848,4.4,5,0,1,2004,"rv","true","level3"
82848,4.4,5,0,1,2004,"rv","true","level3"
82683,5,4.7,0,3,1250,"rv","true","level3"
82533,5,6.3,0,3,2000,"a","true","level2"
82533,5,6.3,0,3,1562,"rv","true","level2"
82451,4.4,5,0,1,2905,"rv","true","level3"
82451,4.4,5,0,1,2905,"rv","true","level3"
82424,5,6.3,0,5,1978,"a","true","level2"
82424,5,6.3,0,5,1509,"rv","true","level2"
82453,1.9,9.3,0,6,4410,"a","true","level4"
82405,5,4.7,0,3,1125,"lv","true","level3"
82344,5,6.3,0,3,2116,"a","true","level2"
82344,5,6.3,0,3,1621,"rv","true","level2"
82306,1.2,7,0,3,2424,"lv","true","level3"
82269,1.2,9.7,0,1,1060,"rv","true","level2"
82259,2.2,9,0,2,1023,"lv","true","level3"
82250,3.1,7,0,4,1000,"lv","true","level2"
82225,3.7,6.3,0,3,2000,"rv","true","level3"
82251,5,6.3,0,3,2228,"a","true","level2"
82251,5,6.3,0,3,1717,"rv","true","level2"
82196,1.9,9.3,0,7,915,"rv","true","level4"
82196,1.9,9.3,0,7,1102,"a","true","level4"
82186,4.7,4.7,0,1,1056,"rv","true","level2"
81646,3.7,6.3,0,5,3980,"rv","true","level3"
74812,1.9,9.3,0,4,1107,"a","true","level4"
